Date,PetroChina Company Limited,China Mobile Limited,Tencent Holdings Limited,General Electric Company,Apple Inc.,Walmart Inc.,LVMH Moët Hennessy (SE),ASML Holding N.V.,Siemens Aktiengesellschaft
2010-01-04,5.111073970794678,35.461395263671875,32.22481155395508,68.03536224365234,6.478998184204102,39.8713264465332,60.2073974609375,24.00994110107422,39.892425537109375
2010-01-05,5.41366720199585,35.75547790527344,32.953704833984375,68.38761901855469,6.490199089050293,39.47429656982422,59.924354553222656,24.196977615356445,39.91680145263672
2010-01-06,5.523702144622803,35.976043701171875,33.03042984008789,68.03536224365234,6.386964797973633,39.38606643676758,60.50577926635742,24.41865348815918,40.063045501708984
2010-01-07,5.5016937255859375,35.902523040771484,31.764461517333984,71.55821990966797,6.375155448913574,39.408119201660156,61.194297790527344,23.739782333374023,40.538307189941406
2010-01-08,5.545708179473877,36.490684509277344,32.20563507080078,73.09944915771484,6.41754150390625,39.209617614746094,62.0205078125,23.17174530029297,40.79423141479492
2010-01-11,5.600724220275879,36.68674087524414,32.761898040771484,73.80403900146484,6.360928058624268,39.856624603271484,62.50248718261719,22.679912567138672,40.8978157043457
2010-01-12,5.567712783813477,37.56898498535156,32.339900970458984,73.84809112548828,6.288573265075684,40.23893737792969,60.70467758178711,22.71454429626465,40.39816665649414
2010-01-13,5.3641510009765625,37.912086486816406,32.78107452392578,74.11229705810547,6.377276420593262,40.44478988647461,61.1636962890625,23.344924926757812,40.76376724243164
2010-01-14,5.298130989074707,38.9168701171875,33.06879806518555,73.53984069824219,6.340341091156006,39.856624603271484,61.24782943725586,23.185596466064453,40.94655990600586
2010-01-15,5.237612724304199,38.67179489135742,33.85523223876953,72.39488983154297,6.2343831062316895,39.46695327758789,60.75056457519531,22.6729793548584,40.47738265991211
2010-01-18,5.171592712402344,37.691532135009766,32.550899505615234,,,,61.821617126464844,,40.690643310546875
2010-01-19,5.276123523712158,38.05913162231445,30.920475006103516,72.83525085449219,6.510180950164795,39.724273681640625,62.8084831237793,22.68683433532715,41.147640228271484
2010-01-20,5.171592712402344,37.47096252441406,29.807954788208008,72.65909576416016,6.40997314453125,39.599273681640625,61.11778259277344,22.998559951782227,40.12397384643555
2010-01-21,5.0505547523498535,36.760257720947266,29.34760093688965,70.54540252685547,6.299168586730957,38.90818405151367,60.00851058959961,22.9777774810791,39.45371627807617
2010-01-22,5.045053005218506,36.51518630981445,28.868061065673828,70.94172668457031,5.986739158630371,38.922874450683594,59.495941162109375,21.980253219604492,39.47200012207031
2010-01-25,5.006542205810547,36.80927658081055,28.61870002746582,72.08665466308594,6.147798538208008,38.878761291503906,59.51887130737305,22.37510871887207,39.3623161315918
2010-01-26,4.874500274658203,36.17210006713867,27.448637008666992,71.99852752685547,6.234685897827148,39.415489196777344,60.77352523803711,22.423599243164062,41.38527297973633
2010-01-27,4.874500274658203,36.22111129760742,27.12255096435547,71.77838897705078,6.293416976928711,39.26108169555664,60.48280334472656,22.555217742919922,41.829383850097656
2010-01-28,4.896507263183594,36.564205169677734,28.100801467895508,71.16189575195312,6.033361911773682,38.680259704589844,59.75605010986328,22.11187171936035,40.5304069519043
2010-01-29,4.841489791870117,36.147586822509766,27.851444244384766,70.80961608886719,5.814477920532227,39.28314208984375,60.49046325683594,21.647747039794922,40.61159896850586
